Language	GlossID	Gloss	Form	Code
Adnyamathanha	1	above	arra	14
Aghu-Tharrnggala	1	above		0
Alyawarr	1	above	err.rul, err.ruleng	31
Antekerrepenhe	1	above	arretyen	14
Arabana	1	above	arata	14
Awabakal	1	above	wågga	25
Badimaya	1	above	garda	0
Badjiri	1	above		0
Bandjalang	1	above	way	37
Batyala	1	above	mundun-ni	0
Bidyara-Gungabula	1	above	ngan-gany	46
Bilinarra	1	above		0
Biri	1	above	ŋarra	22
Birrpayi	1	above	boo-row-a	23
Bularnu	1	above		0
Bunganditj	1	above	kan marna	16
Colac	1	above		0
Darkinyung	1	above		0
Dhangu	1	above	garrwar	8
Dharawal	1	above	mirir	48
Dharuk	1	above	burawa	23
Dharumbal	1	above		0
Dhayyi	1	above	garrwar	8
Dhudhuroa	1	above		0
Dhurga	1	above		0
Dhuwal	1	above	garrwar	8
Dhuwala	1	above	garrwar	8
Diyari	1	above	miri	13
Djabugay	1	above	wanggar	28
Djambarrpuyngu	1	above	garrwar	8
Djapu	1	above	garrwar	8
Djinang	1	above	gurrgi	11
Durubul	1	above		0
Duungidjawu	1	above	gaŋa	0
Dyirbal	1	above	dalbi	0
Flinders Island	1	above		0
Gairi	1	above		0
Gamilaraay	1	above	ŋurri-ba	22
Gangulu	1	above	ŋarra	22
Garlali	1	above		0
Gooreng Gooreng	1	above	buri	40
Gudjal	1	above		0
Gumatj	1	above	garrwar	8
Gumbaynggir	1	above	waru	1
Gunditjmara	1	above	kunnæ puuræ	0
Gundungurra	1	above	yurung	47
Gunggari	1	above	mirramundu	13
Gunya	1	above		0
Gupapuyngu	1	above	garrwar	8
Gurindji	1	above	kankula	3
Guugu-Yimidhirr	1	above	wanggaar	0
Guwa	1	above		0
Guyani	1	above	kara	14
Iyora	1	above	burá-wå [bura-wa; burá-wå?]	0
Jaru	1	above	gangani; gangani-maraŋo	3
Jaru-McC	1	above	gan.gula	3
Jiwarli	1	above	yirrara	27
Jiwarliny	1	above		0
Kaanju	1	above		0
Kalkatungu	1	above	pirrinha	26
Kamilaroi	1	above	Ngurriba	22
Karajarri	1	above	kantingka	4
KarajarriNW	1	above	gaini	2
Kariyarra	1	above		0
Karree	1	above	U-rong	47
Kartujarra	1	above	katuwanajanu	7
Karuwali	1	above		0
Katthang	1	above	Ky-in-goo	44
Kaurna	1	above	karra	14
Keramin	1	above		0
Kugu Nganhcara	1	above		0
Kukatj	1	above	kirh	0
Kukatja	1	above	gangara	3
Kuku Yalanji	1	above	wangkar-wangkar	28
KukuYalanjiCurr	1	above		0
Kungadutyi	1	above		0
Kungkari	1	above		0
Kurnu	1	above		0
Kurrama	1	above	kankarni	3
Kurtjar	1	above	ngkaard, ngkardiyang	28
Kuuku-Ya’u	1	above		0
Linngithigh	1	above	mbir	42
Mabuiag	1	above	gimal	9
Malgana	1	above		0
Malngin	1	above	kankula	3
Malyangapa	1	above		0
MangalaMcK	1	above	kankarni	3
MangalaNW	1	above	gangani; gangani-maraŋo	3
Margany	1	above		0
Martu Wangka	1	above	kanka	3
Mary River and Bunya Bunya Country	1	above	ba’ritha	40
Mathi-Mathi	1	above		0
Mayi-Kulan	1	above	[missing] / [missing]	0
Mayi-Kutuna	1	above	[missing] / [missing]	0
Mayi-Thakurti	1	above	[missing] / [missing]	0
Mayi-Yapi	1	above	[missing] / [missing]	0
Mbabaram	1	above		0
Mbakwithi	1	above		0
Minjungbal	1	above	wayi-ma-ya	37
Mirniny	1	above		0
Mithaka	1	above		0
