ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Adnyamathanha-22_above-1-1,Adnyamathanha-22_above-1,arra,14-above,false,expert,Bowern2012,,,
Alyawarr-22_above-1-1,Alyawarr-22_above-1,err.rul,31-above,false,expert,Bowern2012,,,
Antekerrepenhe-22_above-1-1,Antekerrepenhe-22_above-1,arretyen,14-above,false,expert,Bowern2012,,,
Arabana-22_above-1-1,Arabana-22_above-1,arata,14-above,false,expert,Bowern2012,,,
Awabakal-22_above-1-1,Awabakal-22_above-1,wågga,25-above,false,expert,Bowern2012,,,
Badimaya-22_above-1-1,Badimaya-22_above-1,garda,2,false,expert,Bowern2012,,,
Bandjalang-22_above-1-1,Bandjalang-22_above-1,way,37-above,false,expert,Bowern2012,,,
Batyala-22_above-1-1,Batyala-22_above-1,mundun-ni,4,false,expert,Bowern2012,,,
BidyaraGungabula-22_above-1-1,BidyaraGungabula-22_above-1,ngan-gany,46-above,false,expert,Bowern2012,,,
Biri-22_above-1-1,Biri-22_above-1,ŋarra,22-above,false,expert,Bowern2012,,,
Birrpayi-22_above-1-1,Birrpayi-22_above-1,boo-row-a,23-above,false,expert,Bowern2012,,,
Bunganditj-22_above-1-1,Bunganditj-22_above-1,kan_marna,16-above,false,expert,Bowern2012,,,
Dhangu-22_above-1-1,Dhangu-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Dharawal-22_above-1-1,Dharawal-22_above-1,mirir,48-above,false,expert,Bowern2012,,,
Dharuk-22_above-1-1,Dharuk-22_above-1,burawa,23-above,false,expert,Bowern2012,,,
Dhayyi-22_above-1-1,Dhayyi-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Dhuwal-22_above-1-1,Dhuwal-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Dhuwala-22_above-1-1,Dhuwala-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Diyari-22_above-1-1,Diyari-22_above-1,miri,13-above,false,expert,Bowern2012,,,
Djabugay-22_above-1-1,Djabugay-22_above-1,wanggar,28-above,false,expert,Bowern2012,,,
Djambarrpuyngu-22_above-1-1,Djambarrpuyngu-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Djapu-22_above-1-1,Djapu-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Djinang-22_above-1-1,Djinang-22_above-1,gurrgi,11-above,false,expert,Bowern2012,,,
Duungidjawu-22_above-1-1,Duungidjawu-22_above-1,gaŋa,13,false,expert,Bowern2012,,,
Dyirbal-22_above-1-1,Dyirbal-22_above-1,dalbi,14,false,expert,Bowern2012,,,
Gamilaraay-22_above-1-1,Gamilaraay-22_above-1,ŋurri-ba,22-above,false,expert,Bowern2012,,,
Gangulu-22_above-1-1,Gangulu-22_above-1,ŋarra,22-above,false,expert,Bowern2012,,,
GoorengGooreng-22_above-1-1,GoorengGooreng-22_above-1,buri,40-above,false,expert,Bowern2012,,,
Gumatj-22_above-1-1,Gumatj-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Gumbaynggir-22_above-1-1,Gumbaynggir-22_above-1,waru,1-above,false,expert,Bowern2012,,,
Gunditjmara-22_above-1-1,Gunditjmara-22_above-1,kunnæ_puuræ,19,false,expert,Bowern2012,,,
Gundungurra-22_above-1-1,Gundungurra-22_above-1,yurung,47-above,false,expert,Bowern2012,,,
Gunggari-22_above-1-1,Gunggari-22_above-1,mirramundu,13-above,false,expert,Bowern2012,,,
Gupapuyngu-22_above-1-1,Gupapuyngu-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Gurindji-22_above-1-1,Gurindji-22_above-1,kankula,3-above,false,expert,Bowern2012,,,
GuuguYimidhirr-22_above-1-1,GuuguYimidhirr-22_above-1,wanggaar,21,false,expert,Bowern2012,,,
Guyani-22_above-1-1,Guyani-22_above-1,kara,14-above,false,expert,Bowern2012,,,
Iyora-22_above-1-1,Iyora-22_above-1,burá-wå_,23,false,expert,Bowern2012,,,
Jaru-22_above-1-1,Jaru-22_above-1,gangani,3-above,false,expert,Bowern2012,,,
JaruMcC-22_above-1-1,JaruMcC-22_above-1,gan.gula,3-above,false,expert,Bowern2012,,,
Jiwarli-22_above-1-1,Jiwarli-22_above-1,yirrara,27-above,false,expert,Bowern2012,,,
Kalkatungu-22_above-1-1,Kalkatungu-22_above-1,pirrinha,26-above,false,expert,Bowern2012,,,
Kamilaroi-22_above-1-1,Kamilaroi-22_above-1,Ngurriba,22-above,false,expert,Bowern2012,,,
Karajarri-22_above-1-1,Karajarri-22_above-1,kantingka,4-above,false,expert,Bowern2012,,,
KarajarriNW-22_above-1-1,KarajarriNW-22_above-1,gaini,2-above,false,expert,Bowern2012,,,
Karree-22_above-1-1,Karree-22_above-1,U-rong,47-above,false,expert,Bowern2012,,,
Kartujarra-22_above-1-1,Kartujarra-22_above-1,katuwanajanu,7-above,false,expert,Bowern2012,,,
Katthang-22_above-1-1,Katthang-22_above-1,Ky-in-goo,44-above,false,expert,Bowern2012,,,
Kaurna-22_above-1-1,Kaurna-22_above-1,karra,14-above,false,expert,Bowern2012,,,
Kukatj-22_above-1-1,Kukatj-22_above-1,kirh,30,false,expert,Bowern2012,,,
Kukatja-22_above-1-1,Kukatja-22_above-1,gangara,3-above,false,expert,Bowern2012,,,
KukuYalanji-22_above-1-1,KukuYalanji-22_above-1,wangkar-wangkar,28-above,false,expert,Bowern2012,,,
Kurrama-22_above-1-1,Kurrama-22_above-1,kankarni,3-above,false,expert,Bowern2012,,,
Kurtjar-22_above-1-1,Kurtjar-22_above-1,ngkaard,28-above,false,expert,Bowern2012,,,
Linngithigh-22_above-1-1,Linngithigh-22_above-1,mbir,42-above,false,expert,Bowern2012,,,
Mabuiag-22_above-1-1,Mabuiag-22_above-1,gimal,9-above,false,expert,Bowern2012,,,
Malngin-22_above-1-1,Malngin-22_above-1,kankula,3-above,false,expert,Bowern2012,,,
MangalaMcK-22_above-1-1,MangalaMcK-22_above-1,kankarni,3-above,false,expert,Bowern2012,,,
MangalaNW-22_above-1-1,MangalaNW-22_above-1,gangani,3-above,false,expert,Bowern2012,,,
MartuWangka-22_above-1-1,MartuWangka-22_above-1,kanka,3-above,false,expert,Bowern2012,,,
MaryRiverandBunyaBunyaCountry-22_above-1-1,MaryRiverandBunyaBunyaCountry-22_above-1,ba’ritha,40-above,false,expert,Bowern2012,,,
Minjungbal-22_above-1-1,Minjungbal-22_above-1,wayi-ma-ya,37-above,false,expert,Bowern2012,,,
MountFreelingDiyari-22_above-1-1,MountFreelingDiyari-22_above-1,mirrie,13-above,false,expert,Bowern2012,,,
Mudburra-22_above-1-1,Mudburra-22_above-1,dimbu,19-above,false,expert,Bowern2012,,,
MudburraMcC-22_above-1-1,MudburraMcC-22_above-1,kankulu,3-above,false,expert,Bowern2012,,,
Muruwari-22_above-1-1,Muruwari-22_above-1,karranta,43-above,false,expert,Bowern2012,,,
NggoiMwoi-22_above-1-1,NggoiMwoi-22_above-1,nurring,45-above,false,expert,Bowern2012,,,
Ngaanyatjarra-22_above-1-1,Ngaanyatjarra-22_above-1,kankararra,3-above,false,expert,Bowern2012,,,
Ngadjumaya-22_above-1-1,Ngadjumaya-22_above-1,maadu,6-above,false,expert,Bowern2012,,,
Ngadjuri-22_above-1-1,Ngadjuri-22_above-1,aru'watung,14-above,false,expert,Bowern2012,,,
Ngamini-22_above-1-1,Ngamini-22_above-1,kurumu,20-above,false,expert,Bowern2012,,,
Ngarigu-22_above-1-1,Ngarigu-22_above-1,nyalang,39-above,false,expert,Bowern2012,,,
Ngarinyman-22_above-1-1,Ngarinyman-22_above-1,dalwirr,51,false,expert,Bowern2012,,,
Ngarla-22_above-1-1,Ngarla-22_above-1,kankara,3-above,false,expert,Bowern2012,,,
Ngarluma-22_above-1-1,Ngarluma-22_above-1,gankanmani,3-above,false,expert,Bowern2012,,,
Ngarrindjeri-22_above-1-1,Ngarrindjeri-22_above-1,thalwulda,21-above,false,expert,Bowern2012,,,
Ngiyambaa-22_above-1-1,Ngiyambaa-22_above-1,Nunaowa,12-above,false,expert,Bowern2012,,,
Ngunawal-22_above-1-1,Ngunawal-22_above-1,yurung,47-above,false,expert,Bowern2012,,,
Nhanta-22_above-1-1,Nhanta-22_above-1,irrangkaq,53,false,expert,Bowern2012,,,
NorthernMangarla-22_above-1-1,NorthernMangarla-22_above-1,kankarningu,3-above,false,expert,Bowern2012,,,
NorthernNyangumarta-22_above-1-1,NorthernNyangumarta-22_above-1,kanka,3-above,false,expert,Bowern2012,,,
Nyamal-22_above-1-1,Nyamal-22_above-1,kankarla,3-above,false,expert,Bowern2012,,,
Nyangumarta-22_above-1-1,Nyangumarta-22_above-1,kanka,3-above,false,expert,Bowern2012,,,
Nyungar-22_above-1-1,Nyungar-22_above-1,yearer,55,false,expert,Bowern2012,,,
Pakanh-22_above-1-1,Pakanh-22_above-1,katningka,57,false,expert,Bowern2012,,,
Panyjima-22_above-1-1,Panyjima-22_above-1,kankala,3-above,false,expert,Bowern2012,,,
Parnkala-22_above-1-1,Parnkala-22_above-1,kakkannara,3-above,false,expert,Bowern2012,,,
Payungu-22_above-1-1,Payungu-22_above-1,kankara,3-above,false,expert,Bowern2012,,,
PintupiLuritja-22_above-1-1,PintupiLuritja-22_above-1,katu,7-above,false,expert,Bowern2012,,,
Pitjantjatjara-22_above-1-1,Pitjantjatjara-22_above-1,katu,7-above,false,expert,Bowern2012,,,
PittaPitta-22_above-1-1,PittaPitta-22_above-1,yakirli_ngalpa,35-above,false,expert,Bowern2012,,,
Rirratjingu-22_above-1-1,Rirratjingu-22_above-1,garramat,17-above,false,expert,Bowern2012,,,
Ritharrngu-22_above-1-1,Ritharrngu-22_above-1,garrwar,8-above,false,expert,Bowern2012,,,
Thalanyji-22_above-1-1,Thalanyji-22_above-1,kankara,3-above,false,expert,Bowern2012,,,
Tharrgari-22_above-1-1,Tharrgari-22_above-1,yirrara,27-above,false,expert,Bowern2012,,,
Umpila-22_above-1-1,Umpila-22_above-1,kani-munu,16-above,false,expert,Bowern2012,,,
Wajarri-22_above-1-1,Wajarri-22_above-1,marlba,38-above,false,expert,Bowern2012,,,
Wakaya-22_above-1-1,Wakaya-22_above-1,yupantu,29-above,false,expert,Bowern2012,,,
WalmajarriBilliluna-22_above-1-1,WalmajarriBilliluna-22_above-1,kankarra,3-above,false,expert,Bowern2012,,,
WalmajarriHR-22_above-1-1,WalmajarriHR-22_above-1,kankarra,5-above,false,expert,Bowern2012,,,
WalmajarriNW-22_above-1-1,WalmajarriNW-22_above-1,galano,5-above,false,expert,Bowern2012,,,
Wangkangurru-22_above-1-1,Wangkangurru-22_above-1,jeraba,27-above,false,expert,Bowern2012,,,
Wangkatja-22_above-1-1,Wangkatja-22_above-1,katu,7-above,false,expert,Bowern2012,,,
Wangkumara-22_above-1-1,Wangkumara-22_above-1,pirtabada,33-above,false,expert,Bowern2012,,,
Wardandi-22_above-1-1,Wardandi-22_above-1,jira,64,false,expert,Bowern2012,,,
Warlmanpa-22_above-1-1,Warlmanpa-22_above-1,kankarlarra,3-above,false,expert,Bowern2012,,,
Warlpiri-22_above-1-1,Warlpiri-22_above-1,kankarla-rni,3-above,false,expert,Bowern2012,,,
Warluwarra-22_above-1-1,Warluwarra-22_above-1,karnkarliyarri-,66,false,expert,Bowern2012,,,
Warnman-22_above-1-1,Warnman-22_above-1,kankarni,3-above,false,expert,Bowern2012,,,
