Grapheme	IPA
m#	m
u#	u
ng#	ŋ
i#	i
a#	a
p#	p
g#	g
e#	e
	NULL
!$	NULL
""""	NULL
"""-"	NULL
"""k"	k
#NAME?	w
$	NULL
%	NULL
&	&/e
'	ʔ
'A	ʔ a
'a	ʔ a
'a:	ʔ aː
'b	ˀb
'd	ˀd
'dh	ʔ dʱ
'dʒ	ˀdʒ
'e	ʔ e
'g	ʔ g
'i	ʔ i
'k	ˀk
'm	ˀm
'n	ˀn
'o	ʔ o
'p	ʔ p
'r	ˀr
's	ˀs
't	ˀt
'th	ˀt̪
'u	ʔ u
'w	ˀw
'y	ʔʲ
'ŋ	ʔ ŋ
'ǎ	ʔ a
'ḻ	ˀɭ
*	NULL
*w	w
+	+
-	+
-$	NULL
.	+
.$	NULL
/	ʔ
0	NULL
1	ɪ
2	ə
3	ɜ
474	NULL
7	ʔ
923	NULL
<	NULL
<^	NULL
<oongarnoo>	oː ŋ a r n oː
<w	w
=	NULL
>	NULL
>$	NULL
?	?/ʔ
??	ʔ
?w	ʔ w
@	ə
A	a
AA	ɑː
B	b
Birrô´ara	b i r o ʔ a ɹ a
C	c
D	d
DH	ð 
E	ɛ
G	g
I	i
J	j
K	k
L	l
M	m
N	ŋ
NG	ŋ
NH	ŋ
NN	nː
O	o
P	p
PP	pː
Q	NULL
R	ɹ
RR	r
T	t
TH	θ
Th	t̪
U	u
V	v
Vw	v
W	w
Y	j
Y:	yː
Yw	j w
Z	Z/ʒ
\	ʔ
^	NULL
^-	NULL
^.	+
^–	NULL
_	_
`	ʔ
a	a
a!	a
a:	aː
aa	aː
aː	aː
aᵐ	ã
b	b
b:	b:
bawuː	b a w uː
bb	bː
bh	β
bw	b w
c	c
c:	cː
ch	c
chch	cː
ck	k
cw	cʷ
d	d
dd	dː
dh	d̪
dhw	t̪ʷ
dw	d w
dʒ	dʒ
d́	d
d̪	d̪
e	e
e:	eː
ee	eː
eee	i
e̱	e
f	f
fw	f w
g	g
gg	gː
gh	ɣ
gw	gʷ
h	h
i	i
i!	i
i:	iː
ii	iː
iræ	i r æ
i¯	iː
iː	iː
i̱	i̱/i
iβi	i β i
j	c
jj	cː
jw	j w
k	k
k:	kː
kk	kː
kw	kʷ
kʷ	kʷ
kː	kː
l	l
l:	lː
lh	l̪
lhw	lʷ
ll	lː
lw	l w
ĺ	ĺ/l
m	m
m:	mː
mm	mː
mw	m w
mː	mː
n	n
n:	nː
ng	ŋ
nh	n̪
nhnh	n̪ː
nhw	n̪ w
nj	n c
nn	nː
ns	n s
nw	n w
ny	ɲ
nː	nː
n̪	n̪
o	o
o:	oː
oo	oː
ooo	oː
o̱	o̱/o
p	p
p:	pː
pp	pː
pw	p w
q	q
qq	qː
r	ɹ
r:	rː
rd	ɖ
rh	r
rl	ɭ
rn	ɳ
rr	r
rr:	r
rrr	rː
rs	r s
rt	ʈ
rw	r w
rː	rː
r̩	ɹ
s	s
t	t
t:	tː
t:h	t̪
th	t̪
thth	t̪ː
tt	tː
tw	t w
ty	c
tʃ	tʃ
tʸ	c
t́	t
t̩	t̩/t
t̪	t̪
u	u
u!	u
u:	uː
uu	uː
uu̱	uː
uː	uː
ù	ù/u
u̱	u̱/u
uⁿ	ũ
v	v
vw	v
w	w
wh	w h
ww	w
x	x
y	j
y:	yː
yy	yː
z	z
|	|/l
¯	NULL
´	ʔ
´w	ˀw
µ	m
Õ	Õ/o
à	a
á	a
â	a
ã	ã
ä	æ
äw	æ w
å	ɔ
åw	ɔ w
æ	æ
è	e
é	e
éw	e w
ê	e
í	i
ï	ɨ
ð	ð
ñ	ɲ
ò	o
ó	o
ów	o w
ô	o
ø	ø
ú	u
û	u
ü	u
ā	aː
ē	eː
ī	iː
ĭ	i
ń	nʲ
ŋ	ŋ
ŋw	ŋ w
ŋŋ	ŋː
ō	oː
œ	œ
ř	ɾ
ţ	tʲ
ū	uː
ŭ	u
ƫ	tʲ
Ɂ	ʔ
ɐ	ɐ
ɑ	a
ɑᵘ	ɑ w
ɔ	ɔ
ɔ́	ɔ
ə	ə
ɛ	ɛ
ɛ:	ɛː
ɛ́	ɛ
ɡ	ɡ
ɣ	ɣ
ɤ	ɤ
ɨ	ɨ
ɨ́y	ɨ j
ɩ	i
ɪ	ɪ
ɲ	ɲ
ɳ	ɳ
ɹ	ɹ
ɽ	ɽ
ɾ	ɾ
ʀ	ʀ
ʊ	ʊ
ʔ	ʔ
ˈk	ˀk
ˈm	ˀm
ˈp	ˀp
ˈt	ˀt
ˈt̪	ˀt
ˈw	ˀw
ˈy	ˀj
ˈř	ʔ r
˚	NULL
˜a	ã
β	β
γ	ɣ
δ	ð
ᶁ	ɖ
ḍ	ḍ/d
Ḏ	Ḏ/ð
ḏ	ɖ
ḷ	ɭ
ḻ	ɭ
ḻw	ɭ w
ṇ	ɳ
ṉ	ɳ
ṛ	ɹ
ṟ	ɹ
ṯ	ʈ
‑	NULL
–	NULL
–$	NULL
‘	ʔ
‘n	n
’	ʔ
’w	ˀw
“	NULL
”	NULL
†	NULL
‹	NULL
��	NULL
